aggregatedDataID,waterBodyIdentifier,parameterWaterBodyCategory,observedPropertyDeterminandID,procedureAnalysedMatrix,resultUom,phenomenonTimeReferenceYear,parameterSamplingPeriod,procedureLOQValue,resultNumberOfSamples,resultQualityNumberOfSamplesBelowLOQ,resultQualityMinimumBelowLOQ,resultMinimumValue,resultQualityMeanBelowLOQ,resultMeanValue,resultQualityMaximumBelowLOQ,resultMaximumValue,resultQualityMedianBelowLOQ,resultMedianValue,resultStandardDeviationValue,resultNumberOfSitesClass1,resultNumberOfSitesClass2,resultNumberOfSitesClass3,resultNumberOfSitesClass4,resultNumberOfSitesClass5,resultObservationStatus,remarks,metadata_versionId,metadata_beginLifeSpanVersion,metadata_statusCode,metadata_observationStatus,metadata_statements,UID
11,19,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15990
12,20,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15995
13,20,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15994
14,21,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,2,0,,2.0,,2.0,,2.0,,2.0,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15996
15,22,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,4,0,,0.01,,0.01,,0.01,,0.01,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",16001
16,21,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15997
17,22,GW,2,W,mg{NO3}/L,2012,2012-01-01--2012-12-31,500.0,4,0,,2.0,,3.25,,5.0,,4.0,,2,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=2.5), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15999
18,21,GW,1,W,mg{NH4}/L,2012,2012-01-01--2012-12-31,501.0,2,0,,0.01,,0.01,,0.01,,0.01,,1,0,0,0,,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.25), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=100), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15998
19,19,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15991
20,15,GW,3,W,mg{NO2}/L,2012,2012-01-01--2012-12-31,502.0,2,0,,5,,5,,5,,5,,1,0,0,0,0,,,http://discomap.eea.europa.eu/data/wisesoe/deriveddata/T_WISE4_AggregatedDataByWaterBody/0.html,2015-11-30 00:00:00.000,experimental,U,"QC_LOQ_ABOVE_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected LOQ for this determinand (<=0.07), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.;QC_LOQ_ABOVE_RESULT_MAX_NONESSENTIAL: Possible LOQ outlier - The procedureLOQValue is above the highest expected result value for this determinand (<=10), but it is not essential for this record, because none of the result statistics value is reported as below LOQ.",15976
